GSP,IAH,837
GSP,LGA,610
GSP,MDW,562
GSP,MIA,637
GSP,ORD,577.692225772098
GSP,RIC,328
MHK,DFW,431
MHK,ORD,501
GRK,ATL,803
GRK,DFW,134
GRK,IAH,166
GRK,MEI,542
PIA,ATL,565
PIA,DEN,793
PIA,DFW,672
PIA,DTW,346
PIA,IAH,802
PIA,MSP,342
PIA,ORD,130
LWS,SLC,461
RST,ATL,831
RST,CLE,569
RST,DTW,477
RST,MSP,76
RST,ORD,268
TVC,ATL,769
TVC,DTW,207
TVC,EWR,644
TVC,LGA,655
TVC,MSP,376
TVC,ORD,224
UST,IAD,658
UST,TTN,801
MGM,ATL,147
MGM,DFW,622
BGR,DTW,750
BGR,EWR,393
BGR,LGA,378
DFW,ABI,158
DFW,ABQ,569
DFW,ACT,89
DFW,AEX,285
DFW,AMA,312
DFW,ANC,3043
DFW,ASE,701
DFW,ATL,731
DFW,AUS,190
DFW,BDL,1471
DFW,BHM,597
DFW,BIS,977
DFW,BMI,690
DFW,BNA,631
DFW,BOS,1562
DFW,BPT,270
DFW,BRO,482
DFW,BTR,383
DFW,BWI,1217
DFW,CAE,922
DFW,CHA,695
DFW,CHS,987
DFW,CID,685
DFW,CLE,1021
DFW,CLL,164
DFW,CLT,936
DFW,CMH,926
DFW,CMI,692.247933884297
DFW,COS,592
DFW,COU,489
DFW,CRP,354
DFW,CRW,946
DFW,CVG,812
DFW,DAY,861
DFW,DCA,1192
DFW,DEN,641
DFW,DRO,674
DFW,DSM,624
DFW,DTW,986
DFW,EGE,721
DFW,ELP,551
DFW,EVV,642
DFW,EWR,1372
DFW,FAR,968
DFW,FAT,1313
DFW,FLL,1119
DFW,FSD,737
DFW,FSM,227
DFW,FWA,859
DFW,GCK,404
DFW,GGG,140
DFW,GJT,773
DFW,GPT,500
DFW,GRI,561
DFW,GRK,134
DFW,GRR,931
DFW,GSO,999
DFW,GSP,862
DFW,GUC,678
DFW,HDN,769
DFW,HNL,3784
DFW,HOU,247
DFW,HSV,603
DFW,IAD,1172
DFW,IAH,224
DFW,ICT,328
DFW,IND,761
DFW,JAC,1047
DFW,JAN,408
DFW,JAX,918
DFW,JFK,1391
DFW,JLN,327
DFW,LAS,1055
DFW,LAW,140
DFW,LAX,1235
DFW,LBB,282
DFW,LCH,295
DFW,LEX,785
DFW,LFT,351
DFW,LGA,1389
DFW,LIT,304
